主基金名稱,經理 人姓名
群益15年期以上科技業公司債ETF基金,曾盈甄
群益10年期以上金融債ETF基金,謝明志
柏瑞全球金牌組合基金,方奕翔
群益奧斯卡基金,陳沅易
國泰幸福階梯傘型基金之全球積極組合基金,邱婉春
匯豐金磚動力基金,王亨
元大亞太成長基金,吳育瑄
摩根絕對日本基金,蓋欣聖
復華亞太平衡基金,吳承恩
瀚亞亞太高股息基金,許智翔
野村亞太高股息基金,陳亭安、劉尹璇
群益葛萊美基金,許育誌
台新北美收益資產證券化基金,黃俊晏
元大全球新興市場精選組合基金,周芯瑋
摩根新興35基金,魏伯宇
元大台灣中型100基金,程惇亞
復華全球債券組合基金,王品昕
統一全球債券組合基金,林彥廷
匯豐新鑽動力基金,蕭正義
群益亞太新趨勢平衡基金,楊慈珍
元大全球ETF成長組合基金,周芯瑋
富邦台灣科技指數基金,洪珮甄
瀚亞精選傘型基金之債券精選組合基金,陳姿瑾
玉山新興趨勢組合基金,曾訓億
安聯全球綠能趨勢基金,洪華珍
柏瑞拉丁美洲基金,馬治雲
華南永昌全球精品基金,申暉弘
國泰全球基礎建設基金,魏卉齊
瀚亞亞太不動產證券化基金,林庭樟
復華亞太成長基金,林光佑
街口全球時尚精品基金,吳帛亞
野村全球生技醫療基金,呂丹嵐、沈思瑩
群益新興金鑽基金,李忠翰
富蘭克林華美坦伯頓全球股票組合基金,林育弘
台新主流基金,黃千雲
統一強漢基金,陳意婷
