基金名稱,是複委託
聯博美國傘型基金之聯博美國成長入息基金 (本基金配息來源可能為本金且並無保證收益及配息),TRUE
聯博大利基金,FALSE
柏瑞日本多重資產基金 (本基金配息來源可能為本金),TRUE
柏瑞美利堅多重資產收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
柏瑞巨人基金,FALSE
柏瑞亞洲亮點股票基金,FALSE
柏瑞特別股息收益基金 (本基金並無保證收益及配息且配息來源可能為本金),TRUE
柏瑞多重資產特別收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
柏瑞拉丁美洲基金,TRUE
柏瑞中國A股量化精選基金,TRUE
柏瑞新興動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),FALSE
柏瑞ESG量化多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
柏瑞ESG量化全球股票收益基金 (本基金配息來源可能為本金),TRUE
柏瑞趨勢動態多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
柏瑞ESG減碳全球股票基金,FALSE
柏瑞利率對策多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
柏瑞科技多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
復華台灣未來50主動式ETF基金 (基金之配息來源可能為收益平準金),FALSE
復華全球金融股票入息主動式ETF基金 (基金之配息來源可能為收益平準金且該基金並無保證收益及配息),TRUE
復華全球金融債券入息主動式ETF基金 (本基金有一定比重得投資於非投資等級之高風險債券且本基金並無保證收益及配息),TRUE
復華台灣菁英50指數基金,FALSE
復華全球創新金融指數基金,TRUE
復華全球AI動力成長指數基金,TRUE
復華全球大趨勢基金,TRUE
復華華人世紀基金,TRUE
復華人生目標基金,FALSE
復華傳家基金,FALSE
復華數位經濟基金,FALSE
復華傳家二號基金,FALSE
復華中小精選基金,FALSE
復華全方位基金,FALSE
復華全球原物料基金,TRUE
復華大中華中小策略基金,TRUE
復華東協世紀基金,TRUE
復華滬深300 A股基金,TRUE
復華全球消費基金,TRUE
復華美國新星基金,TRUE
復華中國新經濟平衡基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),TRUE
復華中國新經濟A股基金,TRUE
復華全球物聯網科技基金,TRUE
復華1至5年期非投資等級債券基金 (基金之配息來源可能為收益平準金),TRUE
復華富時不動產證券化基金 (基金之配息來源可能為收益平準金),TRUE
復華新興市場10年期以上債券基金 (基金之配息來源可能為收益平準金),TRUE
復華亞太平衡基金 (本基金有相當比重投資於非投資等級之高風險債券),TRUE
復華亞太成長基金,TRUE
復華亞太神龍科技基金,TRUE
復華富時台灣高股息低波動基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),FALSE
復華15年期以上製藥業債券ETF基金 (基金之配息來源可能為收益平準金),TRUE
復華15年期以上能源業債券ETF基金 (基金之配息來源可能為收益平準金),TRUE
復華新興市場企業債券ETF基金 (基金之配息來源可能為收益平準金),TRUE
復華高成長基金,FALSE
復華美國20年期以上公債ETF基金 (基金之配息來源可能為收益平準金),TRUE
復華1至5年期美元特選信用債券ETF基金 (基金之配息來源可能為收益平準金),TRUE
復華20年期以上A3級以上公司債券ETF基金 (基金之配息來源可能為收益平準金),TRUE
復華美元非投資等級債券指數基金 (基金之配息來源可能為本金),TRUE
